objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,tipo_ruta_troncal,tipo_operacion,tipo_bus_ruta_troncal,estado_ruta_troncal,longitud_ruta_troncal,globalid
115,G43C,G43C,GK43,CAD,SAN MATEO,TRONCAL,Refuerzo,BIARTICULADO,OPERATIVA,15.03230665,{721296EE-E16C-493E-9CB1-6BBA26910AF8}
116,G11,G11,BG11,TERMINAL,PORTAL SUR,TRONCAL,Normal,ARTICULADO,OPERATIVA,30.53421534,{AA698DD8-9074-4775-90B8-DBD2F54A5769}
117,A52,A52,AG52,PORTAL SUR,FLORES,TRONCAL,Normal,ARTICULADO,OPERATIVA,20.86895877,{EC6A60DB-EB13-411F-80B4-CF88E6207154}
118,C15,C15,CH15,PORTAL TUNAL,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,OPERATIVA,28.46717056,{36A693FB-5B5A-466A-A006-518F4B706591}
119,G42,G42,EG42,SIMON BOLIVAR,"SAN MATEO
",TRONCAL,Normal,BIARTICULADO,OPERATIVA,19.48601428,{D302D457-7D4F-4A04-AA08-4914E5C5EB23}
120,B75,B75,BH75,PORTAL USME,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,OPERATIVA,29.21800064,{BEB9A6DB-C585-4493-BA69-093586121331}
121,7-1,7 S,7,SANTA ISABEL,PORTAL SUBA,TRONCAL,Normal,ARTICULADO,OPERATIVA,19.38136745,{473B1EBB-1B97-4E25-9CE3-B4D6A335BB44}
122,D20,D20,DH20,PORTAL USME,PORTAL 80,TRONCAL,Normal,BIARTICULADO,OPERATIVA,26.54669535,{4BBB6E8B-930B-4B51-AF85-52E8C82F86F5}
123,H83,H83,H83-M83,MUSEO NACIONAL B - 7,CL67D Sur - Av Caracas,DUAL,Normal,DUAL,OPERATIVA,14.99595632,{9C884BE8-195F-4AF4-95A4-FDEF30E6BF35}
124,B71,B71,B71,PORTAL TUNAL,TOBERIN,TRONCAL,Normal,ARTICULADO,OPERATIVA,29.35073192,{D6DAD791-FD0C-44F0-80E9-F45ADD7F8154}
125,H13,H13,BH13,PORTAL NORTE,PORTAL TUNAL,TRONCAL,Normal,ARTICULADO,OPERATIVA,25.73872585,{626BDDF6-688D-4C89-BC43-A33B3621D6CB}
126,K16,K16,BK16,TERMINAL,PORTAL ELDORADO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,25.96585679,{30C7F601-0BDB-4AAD-9008-0AACD072DC15}
127,E42,E42,EG42,SAN MATEO,"SIMON BOLIVAR
",TRONCAL,Normal,BIARTICULADO,OPERATIVA,19.3300585,{0B1D56D4-A4EA-4262-AB6B-64C3B5CBA8E1}
128,B46,B46,BG46,SAN MATEO,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,OPERATIVA,31.22707888,{5E1AE36F-1FF1-4199-BECF-F19AA2D3C63C}
129,G46,G46,BG46,PORTAL NORTE,"SAN MATEO
SAN MATEO
",TRONCAL,Normal,BIARTICULADO,OPERATIVA,31.38266284,{494420D2-23DB-44D9-B93B-CCBD98239D96}
130,F60,F60,AF60,CALLE 76,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,NUEVA,19.65764462,{79CE0B8B-9271-47EB-BB32-DA5791D4B665}
131,A60,A60,AF60,PORTAL AMÉRICAS,CALLE 76,TRONCAL,Normal,BIARTICULADO,NUEVA,24.25378592,{E8348E76-D593-4CAA-AF71-D40D857E5AFC}
132,F61,F61,AF61,CALLE 72,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,NUEVA,19.12542766,{16A8F92B-1D0B-40F2-B8BB-9A23A4F73FD9}
133,A61,A61,AF61,PORTAL AMÉRICAS,CALLE 72,TRONCAL,Normal,BIARTICULADO,NUEVA,24.78600289,{B7AECF79-0474-4F20-8DBD-7090540B4886}
134,F26,F26,BF26,ALCALÁ,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,NUEVA,26.24163786,{D2DE21A1-27EA-4ACB-965A-95F4B42DA73E}
135,B26,B26,BF26,PORTAL AMÉRICAS,ALCALÁ,TRONCAL,Normal,BIARTICULADO,NUEVA,27.31960556,{36B65AFA-1238-4E6F-932F-17ADB282D08F}
